step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
1,density,100,density,0.9876303443256081,0.078255854333328,5075,0.9876303443256081,,,
2,efermi,59,density,0.9821148210552794,0.09831790090491398,5075,0.9821148210552794,,,
2,efermi,59,efermi,0.9022215984124853,0.2039480330182045,5073,0.9022215984124853,,,
3,final_energy,100,density,0.9783781169209471,0.10889213228749173,5075,0.9783781169209471,,,
3,final_energy,100,efermi,0.8727034343337499,0.2616705473022955,5073,0.8727034343337499,,,
3,final_energy,100,final_energy,0.6222937305385787,0.3988309596424796,5075,0.6222937305385787,,,
4,total_magnetization,100,density,0.9757734299529522,0.11597064309835158,5075,0.9757734299529522,,,
4,total_magnetization,100,efermi,0.8850131749258807,0.24012965331820513,5073,0.8850131749258807,,,
4,total_magnetization,100,final_energy,0.4042084867887398,0.5543963807408924,5075,0.4042084867887398,,,
4,total_magnetization,100,total_magnetization,0.6609938337412637,0.35077111405178846,5075,0.6609938337412637,,,
5,volume,95,density,0.9727888701713208,0.12398883503671197,5075,0.9727888701713208,,,
5,volume,95,efermi,0.8735470981846879,0.25443041286401136,5073,0.8735470981846879,,,
5,volume,95,final_energy,0.41324796291557264,0.5477436039338602,5075,0.41324796291557264,,,
5,volume,95,total_magnetization,0.5118219475875658,0.4438833237769684,5075,0.5118219475875658,,,
5,volume,95,volume,0.4611679683999419,0.5877418198784168,5075,0.4611679683999419,,,
6,dielectric_total,49,density,0.968039231391541,0.13128914934695382,5075,0.968039231391541,,,
6,dielectric_total,49,efermi,0.8699671656455968,0.26015734780474536,5073,0.8699671656455968,,,
6,dielectric_total,49,final_energy,0.4706772526895836,0.5201312442723244,5075,0.4706772526895836,,,
6,dielectric_total,49,total_magnetization,0.37943584045862566,0.5605753308041286,5075,0.37943584045862566,,,
6,dielectric_total,49,volume,0.3425407583529775,0.6576623969232169,5075,0.3425407583529775,,,
6,dielectric_total,49,dielectric_total,0.6327263251422951,0.4400256913421977,710,0.6327263251422951,,,
7,dielectric_ionic,67,density,0.9721054388893557,0.12444501134408482,5075,0.9721054388893557,,,
7,dielectric_ionic,67,efermi,0.8724267233436376,0.2619819734644532,5073,0.8724267233436376,,,
7,dielectric_ionic,67,final_energy,0.4437779145350871,0.5244218629661446,5075,0.4437779145350871,,,
7,dielectric_ionic,67,total_magnetization,0.4585402749352172,0.46965400806000623,5075,0.4585402749352172,,,
7,dielectric_ionic,67,volume,0.35679531658745034,0.6488179360735575,5075,0.35679531658745034,,,
7,dielectric_ionic,67,dielectric_total,0.5350299561807641,0.511462912151224,710,0.5350299561807641,,,
7,dielectric_ionic,67,dielectric_ionic,0.5252139530526607,0.521593585870447,710,0.5252139530526607,,,
8,dielectric_electronic,60,density,0.9676411995950331,0.13502884598922696,5075,0.9676411995950331,,,
8,dielectric_electronic,60,efermi,0.861745900586475,0.2756102731218509,5073,0.861745900586475,,,
8,dielectric_electronic,60,final_energy,0.4401742958101279,0.5244051118098997,5075,0.4401742958101279,,,
8,dielectric_electronic,60,total_magnetization,0.4772560626031964,0.48810877155102833,5075,0.4772560626031964,,,
8,dielectric_electronic,60,volume,0.3638119178122997,0.6437093332280552,5075,0.3638119178122997,,,
8,dielectric_electronic,60,dielectric_total,0.5324094638192733,0.4886958995953103,710,0.5324094638192733,,,
8,dielectric_electronic,60,dielectric_ionic,0.38658591091985817,0.5806033091344648,710,0.38658591091985817,,,
8,dielectric_electronic,60,dielectric_electronic,0.8369323067912509,0.2276243770965901,710,0.8369323067912509,,,
9,magnetization,33,density,0.9690823788193637,0.13254840312733268,5235,0.9690823788193637,,,
9,magnetization,33,efermi,0.8638411211798815,0.263984274741007,5233,0.8638411211798815,,,
9,magnetization,33,final_energy,0.38820189323408116,0.6056835610775255,5235,0.38820189323408116,,,
9,magnetization,33,total_magnetization,0.4233959163598223,0.5933189047187472,5235,0.4233959163598223,,,
9,magnetization,33,volume,0.3431640288955128,0.6682157579002536,5235,0.3431640288955128,,,
9,magnetization,33,dielectric_total,0.520178256200256,0.5022636185486705,719,0.520178256200256,,,
