step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
1,density,100,density,0.9876303443256081,0.078255854333328,5075,0.9876303443256081,,,
2,efermi,60,density,0.9774239340177605,0.10942110695921838,5075,0.9774239340177605,,,
2,efermi,60,efermi,0.9041384696957372,0.20853309503772793,5073,0.9041384696957372,,,
3,final_energy,100,density,0.9750636005588541,0.11744530285643454,5075,0.9750636005588541,,,
3,final_energy,100,efermi,0.8645929607995075,0.26014335357483626,5073,0.8645929607995075,,,
3,final_energy,100,final_energy,0.6041440514700857,0.4023376797555397,5075,0.6041440514700857,,,
4,total_magnetization,59,density,0.9718774570567501,0.12589786541376494,5075,0.9718774570567501,,,
4,total_magnetization,59,efermi,0.8612441076619441,0.2732810172414624,5073,0.8612441076619441,,,
4,total_magnetization,59,final_energy,0.335664721971745,0.6449570931504868,5075,0.335664721971745,,,
4,total_magnetization,59,total_magnetization,0.6142186760731789,0.40521561700817804,5075,0.6142186760731789,,,
5,volume,34,density,0.9644580137644073,0.14132818205871642,5075,0.9644580137644073,,,
5,volume,34,efermi,0.8543819669727564,0.2828357977583001,5073,0.8543819669727564,,,
5,volume,34,final_energy,0.2995632979168208,0.6274452715851443,5075,0.2995632979168208,,,
5,volume,34,total_magnetization,0.3586024925759822,0.5956711035452656,5075,0.3586024925759822,,,
5,volume,34,volume,0.37156879033718604,0.6528518266070145,5075,0.37156879033718604,,,
6,dielectric_total,62,density,0.9681696150732086,0.13225598924885595,5075,0.9681696150732086,,,
6,dielectric_total,62,efermi,0.8591565761419787,0.2705731932031041,5073,0.8591565761419787,,,
6,dielectric_total,62,final_energy,0.36956694552862823,0.601496145083379,5075,0.36956694552862823,,,
6,dielectric_total,62,total_magnetization,0.3615553476074127,0.4914098356462677,5075,0.3615553476074127,,,
6,dielectric_total,62,volume,0.30398659044692566,0.6865606218504666,5075,0.30398659044692566,,,
6,dielectric_total,62,dielectric_total,0.6380472653860751,0.4458645293993886,710,0.6380472653860751,,,
7,dielectric_ionic,31,density,0.9611040255311962,0.1498534411546658,5075,0.9611040255311962,,,
7,dielectric_ionic,31,efermi,0.8401902639012788,0.2988807971517089,5073,0.8401902639012788,,,
7,dielectric_ionic,31,final_energy,0.3422376328556195,0.6145244279985179,5075,0.3422376328556195,,,
7,dielectric_ionic,31,total_magnetization,0.4125479639373647,0.5004822927480335,5075,0.4125479639373647,,,
7,dielectric_ionic,31,volume,0.27547483158853614,0.7007512778786036,5075,0.27547483158853614,,,
7,dielectric_ionic,31,dielectric_total,0.4712228693049477,0.5254352420314254,710,0.4712228693049477,,,
7,dielectric_ionic,31,dielectric_ionic,0.49532990113238007,0.5415912549680473,710,0.49532990113238007,,,
8,dielectric_electronic,27,density,0.9581139662077035,0.15807922376973085,5075,0.9581139662077035,,,
8,dielectric_electronic,27,efermi,0.8418788544057215,0.2981906884955734,5073,0.8418788544057215,,,
8,dielectric_electronic,27,final_energy,0.31377905864342803,0.6536771995955195,5075,0.31377905864342803,,,
8,dielectric_electronic,27,total_magnetization,0.4210841283318292,0.5476432326308326,5075,0.4210841283318292,,,
8,dielectric_electronic,27,volume,0.29055188768998685,0.6970009043362877,5075,0.29055188768998685,,,
8,dielectric_electronic,27,dielectric_total,0.49424207722945757,0.5404155456984856,710,0.49424207722945757,,,
8,dielectric_electronic,27,dielectric_ionic,0.27337011299069935,0.6803473810260043,710,0.27337011299069935,,,
8,dielectric_electronic,27,dielectric_electronic,0.7947254156853072,0.2677294104847632,710,0.7947254156853072,,,
9,magnetization,59,density,0.9648000992910728,0.14170466711677762,5235,0.9648000992910728,,,
9,magnetization,59,efermi,0.8583002792077625,0.2764791975252613,5233,0.8583002792077625,,,
9,magnetization,59,final_energy,0.3817942398695079,0.6022705449600438,5235,0.3817942398695079,,,
9,magnetization,59,total_magnetization,0.3824165338970976,0.5542093254150045,5235,0.3824165338970976,,,
9,magnetization,59,volume,0.30676075302197137,0.6817554342973123,5235,0.30676075302197137,,,
9,magnetization,59,dielectric_total,0.4967581444522796,0.5148597892246501,719,0.4967581444522796,,,
9,magnetization,59,dielectric_ionic,0.333534441820849,0.6054720479462145,719,0.333534441820849,,,
9,magnetization,59,dielectric_electronic,0.6754905616664868,0.3176771793697314,719,0.6754905616664868,,,
9,magnetization,59,magnetization,0.7008692154828478,0.3825002158132606,244,0.7008692154828478,,,
10,curie,36,density,0.9622717027528936,0.15014498317785255,5235,0.9622717027528936,,,
10,curie,36,efermi,0.8522911654940328,0.2799805156399551,5233,0.8522911654940328,,,
10,curie,36,final_energy,0.30713169029767995,0.6360529477512418,5235,0.30713169029767995,,,
10,curie,36,total_magnetization,0.4063643824088945,0.5922066611443612,5235,0.4063643824088945,,,
10,curie,36,volume,0.29535971694543495,0.6970668905128841,5235,0.29535971694543495,,,
10,curie,36,dielectric_total,0.5027189455735755,0.5076421505860633,719,0.5027189455735755,,,
10,curie,36,dielectric_ionic,0.3437391853374022,0.6146063972091467,719,0.3437391853374022,,,
10,curie,36,dielectric_electronic,0.6737574080884152,0.34716491814835515,719,0.6737574080884152,,,
10,curie,36,magnetization,0.2395597761573881,0.6124559012903258,244,0.2395597761573881,,,
10,curie,36,curie,0.6269493697403064,0.41692333504517287,1423,0.6269493697403064,,,
11,neel,47,density,0.966610822519258,0.1370185854776101,5235,0.966610822519258,,,
11,neel,47,efermi,0.8444920526738753,0.2935240524350602,5233,0.8444920526738753,,,
11,neel,47,final_energy,0.348508098876667,0.6125520253987655,5235,0.348508098876667,,,
11,neel,47,total_magnetization,0.3897515006401686,0.5140067270643404,5235,0.3897515006401686,,,
11,neel,47,volume,0.28570170180093424,0.691014238888235,5235,0.28570170180093424,,,
11,neel,47,dielectric_total,0.5097470568389206,0.5001736407855545,719,0.5097470568389206,,,
11,neel,47,dielectric_ionic,0.2812834584681374,0.6206787826395027,719,0.2812834584681374,,,
11,neel,47,dielectric_electronic,0.6347240440906994,0.3374903014958874,719,0.6347240440906994,,,
11,neel,47,magnetization,0.2541004634632078,0.6589249220835222,244,0.2541004634632078,,,
11,neel,47,curie,0.5390216941085514,0.4654322833575241,1423,0.5390216941085514,,,
11,neel,47,neel,0.5885318101397151,0.4635293140035173,849,0.5885318101397151,,,
12,kp,57,density,0.9647111528368814,0.13986413599532874,5386,0.9647111528368814,,,
12,kp,57,efermi,0.8534410610644708,0.2794640975450598,5384,0.8534410610644708,,,
12,kp,57,final_energy,0.3693695434278773,0.6136266609493491,5386,0.3693695434278773,,,
12,kp,57,total_magnetization,0.4781305034807267,0.4943987711545675,5386,0.4781305034807267,,,
12,kp,57,volume,0.3283431598341434,0.6660367306667948,5386,0.3283431598341434,,,
12,kp,57,dielectric_total,0.4829635383288745,0.5365603386817132,815,0.4829635383288745,,,
12,kp,57,dielectric_ionic,0.2970242874567701,0.6436421153159324,815,0.2970242874567701,,,
12,kp,57,dielectric_electronic,0.5932010329312871,0.365853735611521,815,0.5932010329312871,,,
12,kp,57,magnetization,0.40778639405576533,0.5621088763785311,244,0.40778639405576533,,,
12,kp,57,curie,0.5654274087744157,0.484583406944144,1424,0.5654274087744157,,,
12,kp,57,neel,0.47998454802056856,0.5379724002494164,857,0.47998454802056856,,,
12,kp,57,kp,0.6029767148026242,0.45932124728784224,1045,0.6029767148026242,,,
13,magnetic_susceptibility,23,density,0.9565955994077865,0.1561386863837961,5386,0.9565955994077865,,,
13,magnetic_susceptibility,23,efermi,0.8550972135916133,0.28149642340062797,5384,0.8550972135916133,,,
13,magnetic_susceptibility,23,final_energy,0.32976854503387387,0.6187571024582331,5386,0.32976854503387387,,,
13,magnetic_susceptibility,23,total_magnetization,0.3530920436932411,0.6169047235569778,5386,0.3530920436932411,,,
13,magnetic_susceptibility,23,volume,0.3117764095430896,0.6870987211401204,5386,0.3117764095430896,,,
13,magnetic_susceptibility,23,dielectric_total,0.513276807342206,0.5070052155975399,815,0.513276807342206,,,
13,magnetic_susceptibility,23,dielectric_ionic,0.3334821653234623,0.6236038303214639,815,0.3334821653234623,,,
13,magnetic_susceptibility,23,dielectric_electronic,0.7388029194836914,0.32559270214479324,815,0.7388029194836914,,,
13,magnetic_susceptibility,23,magnetization,0.4262534208656523,0.5701761868897982,244,0.4262534208656523,,,
13,magnetic_susceptibility,23,curie,0.527161714244107,0.5055702620090818,1424,0.527161714244107,,,
13,magnetic_susceptibility,23,neel,0.4391503176424393,0.5587439601419915,857,0.4391503176424393,,,
