step,new_task,epochs_run,task,r2,mae,samples,primary,points,accuracy,macro_f1
1,density,100,density,0.9876303443256081,0.078255854333328,5075,0.9876303443256081,,,
2,efermi,70,density,0.9777328724991424,0.10891599410236184,5075,0.9777328724991424,,,
2,efermi,70,efermi,0.905558955116307,0.20433305359593273,5073,0.905558955116307,,,
3,final_energy,89,density,0.9723861233968182,0.12253754744882986,5075,0.9723861233968182,,,
3,final_energy,89,efermi,0.8645436406395661,0.26630737845347474,5073,0.8645436406395661,,,
3,final_energy,89,final_energy,0.587031206037166,0.4241179696201577,5075,0.587031206037166,,,
4,total_magnetization,82,density,0.968036420307995,0.1346398410081999,5075,0.968036420307995,,,
4,total_magnetization,82,efermi,0.8593886062110968,0.2675645044692696,5073,0.8593886062110968,,,
4,total_magnetization,82,final_energy,0.3130824703060958,0.6066225312196423,5075,0.3130824703060958,,,
4,total_magnetization,82,total_magnetization,0.6672994157395644,0.3525171831050308,5075,0.6672994157395644,,,
5,volume,66,density,0.9661989735755613,0.1388874246729926,5075,0.9661989735755613,,,
5,volume,66,efermi,0.859334711836156,0.2701423990528813,5073,0.859334711836156,,,
5,volume,66,final_energy,0.34796935115049854,0.5881492803315652,5075,0.34796935115049854,,,
5,volume,66,total_magnetization,0.42274531293716655,0.4853998699713358,5075,0.42274531293716655,,,
5,volume,66,volume,0.4212229598785585,0.6168252898720384,5075,0.4212229598785585,,,
6,dielectric_total,59,density,0.9667371878470933,0.1353112794132931,5075,0.9667371878470933,,,
6,dielectric_total,59,efermi,0.853301009891551,0.282021314316103,5073,0.853301009891551,,,
6,dielectric_total,59,final_energy,0.34798237556141143,0.5765145208302727,5075,0.34798237556141143,,,
6,dielectric_total,59,total_magnetization,0.4360079925228354,0.5270957829044276,5075,0.4360079925228354,,,
6,dielectric_total,59,volume,0.27481531527243674,0.6916508162543111,5075,0.27481531527243674,,,
6,dielectric_total,59,dielectric_total,0.6326588447978228,0.44330235833818926,710,0.6326588447978228,,,
7,dielectric_ionic,70,density,0.9585905277340352,0.15379794782535236,5075,0.9585905277340352,,,
7,dielectric_ionic,70,efermi,0.8560382799679885,0.2736645354864606,5073,0.8560382799679885,,,
7,dielectric_ionic,70,final_energy,0.31208939515361067,0.6057122696826035,5075,0.31208939515361067,,,
7,dielectric_ionic,70,total_magnetization,0.4505506938011865,0.5119044196793752,5075,0.4505506938011865,,,
7,dielectric_ionic,70,volume,0.2779893908928952,0.6933849655520831,5075,0.2779893908928952,,,
7,dielectric_ionic,70,dielectric_total,0.5596668124929243,0.47177116188563706,710,0.5596668124929243,,,
7,dielectric_ionic,70,dielectric_ionic,0.5251051872222727,0.5160769738624864,710,0.5251051872222727,,,
8,dielectric_electronic,56,density,0.9646799833379681,0.14057252072258636,5075,0.9646799833379681,,,
8,dielectric_electronic,56,efermi,0.8467957943381408,0.2886618078958279,5073,0.8467957943381408,,,
8,dielectric_electronic,56,final_energy,0.25296430496339195,0.6211643209244342,5075,0.25296430496339195,,,
8,dielectric_electronic,56,total_magnetization,0.4575814789295136,0.4942566798498152,5075,0.4575814789295136,,,
