id,regression_1,regression_b,regression_3,classification_a,classification_b,split
sample_0000,-1.254598811526375,1.3554020018665076,0.8611381655775646,0,1,train
sample_0001,4.507143064099161,-1.6706887174202025,3.1233270918800455,0,2,train
sample_0002,2.3199394181140507,1.7603957020119263,3.5507548832107645,0,1,train
sample_0003,0.986584841970366,2.221171490567646,0.8085860059914317,0,1,train
sample_0004,-3.439813595575635,2.1195808958620797,2.5970028143017623,0,0,val
sample_0005,-3.4400547966379733,3.1615614511092436,1.7440178106975417,0,1,train
sample_0006,-4.419163878318005,2.6678443090978083,3.6392373819683166,1,1,test
sample_0007,3.6617614577493516,1.9183601584568732,3.914662538935987,1,1,train
sample_0008,1.0111501174320878,0.8596685770827059,1.7443314580351454,1,0,train
sample_0009,2.0807257779604544,-2.321921867031983,6.9549131830256306,0,2,train
sample_0010,-4.7941550570419755,1.8592364382651718,3.3886631198873847,0,2,train
sample_0011,4.699098521619943,1.4153753743262223,1.8183969131194564,0,1,train
sample_0012,3.324426408004218,1.543157674390747,0.7534843126406969,1,0,train
sample_0013,-2.8766088932172384,-1.5534971516406189,4.071716167088343,0,1,train
sample_0014,-3.181750327928994,-1.1621130808165248,4.82694404128198,0,2,train
sample_0015,-3.165954901465662,3.106305706665807,2.2351727097895147,1,0,train
sample_0016,-1.9575775704046228,0.9208896922866899,3.726898211633622,0,2,train
sample_0017,0.24756431632237863,2.3630013947452486,9.469350736734006,1,2,train
sample_0018,-0.6805498135788426,1.0566367522609224,6.226565408689468,1,0,val
sample_0019,-2.0877085980195806,1.0595122789914904,0.2925577479180122,0,0,train
sample_0020,1.118528947223795,2.8765676119519954,1.7999345266508164,1,1,val
sample_0021,-3.6050613934795814,-0.03208945643474781,3.005785145385176,0,1,train
sample_0022,-2.0785535146478185,1.1922415538819666,3.535727560354754,1,2,train
sample_0023,-1.336381567063083,0.07544942258991505,3.7880360122299934,0,0,train
sample_0024,-0.43930015782964027,0.13100754513536883,4.609579480849992,1,0,test
sample_0025,2.8517596139301364,0.38165575306272126,3.0852046355069764,0,1,train
sample_0026,-3.003262178416403,1.4442675432674257,3.3822401069704022,1,2,train
sample_0027,0.14234438413611628,0.04250275667304537,6.449650781475664,1,2,train
sample_0028,0.9241456886204249,3.5115122511470416,4.131003091401673,1,1,val
sample_0029,-4.5354958728000225,-0.7892146044390078,1.1664744257057489,0,0,train
sample_0030,1.0754485190143832,0.6262567116772819,3.621563503590047,0,1,val
sample_0031,-3.294758763127085,0.12053788345165017,3.0123436487746127,1,1,val
sample_0032,-4.349484070147205,3.8939557687074657,0.4529429646781482,0,1,train
sample_0033,4.488855372533333,1.3931095530231492,3.763351192814912,1,1,test
